order_id,shipping_limit_date,order_delivered_carrier_date,late_delivery,delay_days
00010242fe8c5a6d1ba2dd792cb16214,2017-09-19 09:45:35,2017-09-19 18:34:16,True,0.0
00018f77f2f0320c557190d7a144bdd3,2017-05-03 11:05:13,2017-05-04 14:35:00,True,1.0
00042b26cf59d7ce69dfabb4e55b4fd9,2017-02-13 13:57:51,2017-02-16 09:46:09,True,2.0
0005a1a1728c9d785b8e2b08b904576c,2018-03-26 18:31:29,2018-03-28 00:37:42,True,1.0
0014ae671de39511f7575066200733b7,2017-05-29 03:15:24,2017-05-29 09:04:02,True,0.0
0016dfedd97fc2950e388d2971d718c7,2017-05-05 10:05:12,2017-05-16 08:40:49,True,10.0
001d8f0e34a38c37f7dba2a37d4eba8b,2017-05-18 17:35:11,2017-05-24 15:45:01,True,5.0
001d8f0e34a38c37f7dba2a37d4eba8b,2017-05-18 17:35:11,2017-05-24 15:45:01,True,5.0
001dbc16dc51075e987543d23a0507c7,2017-02-01 13:17:57,2017-02-01 15:59:46,True,0.0
0025c5d1a8ca53a240ec2634bb4492ea,2018-07-10 09:30:09,2018-07-10 13:36:00,True,0.0
0030d783f979fbc5981e75613b057344,2017-11-29 23:13:38,2017-12-15 19:34:13,True,15.0
0030ff924c38549807645976adeef2c0,2018-04-06 17:10:21,2018-04-07 01:18:33,True,0.0
003a7f59d7e08a9c61d9e2881fe6459c,2018-08-22 11:49:46,2018-08-22 12:04:00,True,0.0
003d0634280ff3d1d3a54459349a6899,2018-03-22 18:08:43,2018-03-23 19:24:35,True,1.0
003edccf16bc5ec447f592913b3df2b4,2018-07-12 10:15:21,2018-07-13 14:11:00,True,1.0
00471463a6106056c1a2a809f70de640,2017-10-03 22:46:14,2017-10-04 14:45:15,True,0.0
004b62108b876867938746ad3154167f,2018-07-10 05:31:03,2018-07-11 14:12:00,True,1.0
005d9a5423d47281ac463a968b3936fb,2017-10-24 12:28:16,2017-10-24 14:56:52,True,0.0
